Name	Location	Type	plate	category
1-1	NA	NA	2	NA
2010WINpet1	WIN	P	2	argentina
2012BN10	BAR	H	2	argentina
2012BN3	BAR	H	2	argentina
2012BN9	BAR	H	2	argentina
2012BNann8	BAR	A	2	argentina
2012BNint1	BAR	H	2	argentina
2012BNint4	BAR	H	2	argentina
2012BNint5	BAR	H	2	argentina
2012BNpet2	BAR	P	2	argentina
2012BNpet7	BAR	P	2	argentina
2012BSann2	BAR	A	2	argentina
2012BSann4	BAR	A	2	argentina
2012BSann5	BAR	A	2	argentina
2012BSint2	BAR	H	2	argentina
2012BSint3	BAR	H	2	argentina
2012BSint7	BAR	H	2	argentina
2012BSpet6	BAR	P	2	argentina
2012BSpet8	BAR	P	2	argentina
2012CATrara	CHU	H	2	argentina
2012CHU11	CHU	H	2	argentina
2012CHU12	CHU	H	2	argentina
2012CHU13	CHU	H	2	argentina
2012CHU7	CHU	A	2	argentina
2012CHUann10	CHU	A	2	argentina
2012CHUann4	CHU	A	2	argentina
2012CHUann8	CHU	A	2	argentina
2012CHUint1	CHU	H	2	argentina
2012CHUint2	CHU	H	2	argentina
2012CHUint3	CHU	H	2	argentina
2012CHUpet4	CHU	P	2	argentina
2012CHUpet5	CHU	P	2	argentina
2012CHUrara6	CHU	H	2	argentina
2012WINpet2	WIN	P	2	argentina
20-2	NA	NA	2	NA
20-5	NA	NA	2	NA
4-2	NA	NA	2	NA
6-4	NA	NA	2	NA
9-6	NA	NA	2	NA
BARA10	BAR	A	1	argentina
BARA1	BAR	A	1	argentina
BARA2	BAR	A	1	argentina
BARA3	BAR	A	1	argentina
BARA4	BAR	A	1	argentina
BARA5	BAR	A	1	argentina
BARA6	BAR	A	1	argentina
BARA7	BAR	A	1	argentina
BARA8	BAR	A	1	argentina
BARA9	BAR	A	1	argentina
BARH1	BAR	H	1	argentina
BARH2	BAR	H	1	argentina
BARH3	BAR	H	1	argentina
BARH4	BAR	H	1	argentina
BARH5	BAR	H	1	argentina
BARH6	BAR	H	1	argentina
BARH7	BAR	H	1	argentina
BARH8	BAR	H	1	argentina
BARH9	BAR	H	1	argentina
BARP10	BAR	P	1	argentina
BARP1	BAR	P	1	argentina
BARP2	BAR	P	1	argentina
BARP3	BAR	P	1	argentina
BARP4	BAR	P	1	argentina
BARP5	BAR	P	1	argentina
BARP6	BAR	P	1	argentina
BARP7	BAR	P	1	argentina
BARP8	BAR	P	1	argentina
BARP9	BAR	P	1	argentina
CATA10	CAT	A	1	argentina
CATA11	CAT	A	1	argentina
CATA1	CAT	A	1	argentina
CATA2	CAT	A	1	argentina
CATA3	CAT	A	1	argentina
CATA4	CAT	A	1	argentina
CATA5	CAT	A	1	argentina
CATA6	CAT	A	1	argentina
CATA7	CAT	A	1	argentina
CATA8	CAT	A	1	argentina
CATA9	CAT	A	1	argentina
CATH1	CAT	H	1	argentina
CATH2	CAT	H	1	argentina
CATH3	CAT	H	1	argentina
CATP10	CAT	P	1	argentina
CATP11	CAT	P	1	argentina
CATP12	CAT	P	1	argentina
CATP13	CAT	P	1	argentina
CATP14	CAT	P	1	argentina
CATP15	CAT	P	1	argentina
CATP1	CAT	P	1	argentina
CATP2	CAT	P	1	argentina
CATP3	CAT	P	1	argentina
CATP4	CAT	P	1	argentina
CATP5	CAT	P	1	argentina
CATP6	CAT	P	1	argentina
CATP7	CAT	P	1	argentina
CATP8	CAT	P	1	argentina
CATP9	CAT	P	1	argentina
CHUA10	CHU	A	1	argentina
CHUA11	CHU	A	1	argentina
CHUA12	CHU	A	1	argentina
CHUA13	CHU	A	1	argentina
CHUA1	CHU	A	1	argentina
CHUA2	CHU	A	1	argentina
CHUA3	CHU	A	1	argentina
CHUA4	CHU	A	1	argentina
CHUA5	CHU	A	1	argentina
CHUA6	CHU	A	1	argentina
CHUA7	CHU	A	1	argentina
CHUA8	CHU	A	1	argentina
CHUA9	CHU	A	1	argentina
CHUH1	CHU	H	1	argentina
CHUH2	CHU	H	1	argentina
CHUH3	CHU	H	1	argentina
CHUH4	CHU	H	1	argentina
CHUH5	CHU	H	1	argentina
CHUP10	CHU	P	1	argentina
CHUP11	CHU	P	1	argentina
CHUP12	CHU	P	1	argentina
CHUP13	CHU	P	1	argentina
CHUP14	CHU	P	1	argentina
CHUP15	CHU	P	1	argentina
CHUP1	CHU	P	1	argentina
CHUP2	CHU	P	1	argentina
CHUP3	CHU	P	1	argentina
CHUP4	CHU	P	1	argentina
CHUP5	CHU	P	1	argentina
CHUP6	CHU	P	1	argentina
CHUP7	CHU	P	1	argentina
CHUP8	CHU	P	1	argentina
CHUP9	CHU	P	1	argentina
CZH1	CZ	H	2	argentina
CZH2	CZ	H	2	argentina
CZH3	CZ	H	2	argentina
CZH4	CZ	H	2	argentina
CZH5	CZ	H	2	argentina
CZH6	CZ	H	2	argentina
CZH7	CZ	H	2	argentina
CZH8	CZ	H	2	argentina
CZH9	CZ	H	2	argentina
CZP1	CZ	P	2	argentina
CZP2	CZ	P	2	argentina
CZP3	CZ	P	2	argentina
CZP4	CZ	P	2	argentina
CZP5	CZ	P	2	argentina
CZP6	CZ	P	2	argentina
CZP7	CZ	P	2	argentina
CZP8	CZ	P	2	argentina
CZP9	CZ	P	2	argentina
D20-0	D20	P	2	argentina
D20-2	D20	P	2	argentina
D23-3	D23	P	2	argentina
D23-5	D23	P	2	argentina
D26-2	D26	P	2	argentina
D26-4	D26	P	2	argentina
D28-5	D28	P	2	argentina
D28-9	D28	P	2	argentina
DIA13	DIA	A	2	argentina
DIA34	DIA	A	2	argentina
DIA37	DIA	A	2	argentina
DIA44	DIA	A	2	argentina
DIA6	DIA	A	2	argentina
RCU18	RCU	A	2	argentina
RCU33	RCU	A	2	argentina
RCU37	RCU	A	2	argentina
RCU43	RCU	A	2	argentina
RCU9	RCU	A	2	argentina
WINI6	WIN	A	2	argentina
WINIA1	WIN	A	1	argentina
WINIA2	WIN	A	1	argentina
WINIA3	WIN	A	1	argentina
WINIA4	WIN	A	1	argentina
WINIA5	WIN	A	1	argentina
WINIA7	WIN	A	2	argentina
WINIA8	WIN	A	2	argentina
WINIA9	WIN	A	2	argentina
WINIH1	WIN	H	2	argentina
WINIP10	WIN	P	2	argentina
WINIP1	WIN	P	2	argentina
WINIP2	WIN	P	2	argentina
WINIP3	WIN	P	2	argentina
WINIP4	WIN	P	2	argentina
WINIP5	WIN	P	2	argentina
WINIP6	WIN	P	2	argentina
WINIP7	WIN	P	2	argentina
WINIP8	WIN	P	2	argentina
WINIP9	WIN	P	2	argentina
HA369	Dom	A	NA	dom
HA384	Dom	A	NA	dom
HA412-flowers	Dom	A	NA	dom
HA89-9	Dom	A	NA	dom
KOSI	Dom	A	NA	dom
MAI	Dom	A	NA	dom
RHA274	Dom	A	NA	dom
Sunrise	Dom	A	NA	dom
VNIIMK8931	Dom	A	NA	dom
Academy2	USAwild	A	NA	wild_ann
Academy7	USAwild	A	NA	wild_ann
ALB	USAwild	A	NA	wild_ann
Canal2	USAwild	A	NA	wild_ann
Canal5	USAwild	A	NA	wild_ann
Manteca4	USAwild	A	NA	wild_ann
Manteca8	USAwild	A	NA	wild_ann
SAW3	USAwild	A	NA	wild_ann
LEW1	USAwild	A	NA	wild_ann
NEW	USAwild	A	NA	wild_ann
TEW	USAwild	A	NA	wild_ann
GB097	Niv	N	NA	niv
GB157	NivTep	N	NA	niv
GB303	NivTep 	N	NA	niv
GB304	NivTep	N	NA	niv
GB293	NivCan	N	NA	niv
GB287	NivTep	N	NA	niv
GB180	NA	NA	NA	NA
GB030	NivTep	N	NA	niv
GB076	NivTep	N	NA	niv
GB181	NivTep	N	NA	niv
GB289	NivTep	N	NA	niv
GB286	NivTep	N	NA	niv
GB291	NivCan	N	NA	niv
GB292	NivCan	N	NA	niv
GB294	NivCan	N	NA	niv
GB295	NivCan	N	NA	niv
GB296	NivCan	N	NA	niv
GB302	NivCan	N	NA	niv
GB334	NivCan	N	NA	niv
GB017	PetFal	P	NA	petfal
GB045	Pet	P	NA	petpet
GB046	PetPet	P	NA	petpet
GB079	PetPet	P	NA	petpet
GB087	PetPet	P	NA	petpet
GB089	PetPet	P	NA	petpet
GB090	PetPet	P	NA	petpet
GB091	PetPet	P	NA	petpet
GB092	PetPet	P	NA	petpet
GB093	PetPet	P	NA	petpet
GB094	PetPet	P	NA	petpet
GB248	PetPet	P	NA	petpet
GB256	PetPet	P	NA	petpet
GB331	PetFal	P	NA	petfal
GB333	Pet	P	NA	petfal
GB346	PetFal	P	NA	petfal
GB349	PetFal	P	NA	petfal
GB354	Pet	P	NA	petfal
GB088	NA	NA	NA	NA
GB058	Neg	Ne	NA	neg
GB085	Neg	Ne	NA	neg
GB151	Neg	Ne	NA	neg
GB152	Neg	Ne	NA	neg
GB153	Neg	Ne	NA	neg
GB072	Deb	D	NA	deb
GB166	Deb	D	NA	deb
GB012	Deb	D	NA	deb
GB024	Deb	D	NA	deb
GB159	Deb	D	NA	deb
GB270	Pra	Pr	NA	pra
GB269	Pra	Pr	NA	pra
GB297	Pra	Pr	NA	pra
